Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"December 27, 2018 / 3:21pm",Zinger Bat Company - X318,,,,56.2,,,1,,,-37,2.92,0.14,19.8,72
"December 27, 2018 / 3:21pm",Zinger Bat Company - X318,,,,59.6,,,7,,,-31,3.11,0.15,20.4,88
"December 27, 2018 / 3:21pm",Zinger Bat Company - X318,,,,59.1,,,5,,,-40,3.13,0.14,21.3,87
"December 27, 2018 / 3:21pm",Zinger Bat Company - X318,,,,57.6,,,0,,,-33,2.98,0.14,20.1,78
"December 27, 2018 / 3:20pm",Zinger Bat Company - X318,,,,58.1,,,11,,,-24,2.9,0.15,18.2,80
"December 27, 2018 / 3:20pm",Zinger Bat Company - X318,,,,63.3,,,3,,,-30,3.45,0.15,20.1,84
"December 27, 2018 / 3:20pm",Zinger Bat Company - X318,,,,62.4,,,5,,,-37,3.4,0.15,20.4,88
"December 27, 2018 / 3:20pm",Zinger Bat Company - X318,,,,60.9,,,3,,,-46,3.43,0.14,21.3,89
"December 27, 2018 / 3:20pm",Zinger Bat Company - X318,,,,57.3,,,3,,,-31,2.87,0.15,21.1,82
"December 23, 2018 / 3:18pm",Zinger Bat Company - X318,,,,60.1,,,11,,,-39,2.99,0.15,19.6,80
"December 23, 2018 / 3:17pm",Zinger Bat Company - X318,,,,61.3,,,12,,,-37,3.07,0.16,20.5,74
"December 23, 2018 / 3:17pm",Zinger Bat Company - X318,,,,58.8,,,9,,,-38,3.15,0.14,20.3,79
"December 23, 2018 / 3:16pm",Zinger Bat Company - X318,,,,58.8,,,4,,,-39,3.01,0.15,20.4,79
"December 23, 2018 / 3:16pm",Zinger Bat Company - X318,,,,60.2,,,7,,,-40,3.08,0.15,20.4,86
"December 23, 2018 / 3:16pm",Zinger Bat Company - X318,,,,58.2,,,8,,,-50,2.84,0.15,20.2,72
"December 23, 2018 / 3:15pm",Zinger Bat Company - X318,,,,63.9,,,7,,,-42,3.47,0.15,19.8,76
"December 23, 2018 / 3:15pm",Zinger Bat Company - X318,,,,64.4,,,9,,,-43,3.39,0.16,20.4,77
"December 23, 2018 / 3:15pm",Zinger Bat Company - X318,,,,66.6,,,3,,,-41,3.67,0.15,18.2,71
"December 23, 2018 / 3:14pm",Zinger Bat Company - X318,,,,64.4,,,-2,,,-46,3.43,0.15,19.2,75
"December 23, 2018 / 3:13pm",Zinger Bat Company - X318,,,,63.1,,,1,,,-46,3.21,0.16,21,75
"December 23, 2018 / 3:13pm",Zinger Bat Company - X318,,,,63.2,,,3,,,-44,3.31,0.15,21.5,75
"December 23, 2018 / 3:13pm",Zinger Bat Company - X318,,,,64.5,,,3,,,-46,3.44,0.15,21.3,80
"December 23, 2018 / 3:13pm",Zinger Bat Company - X318,,,,63,,,2,,,-50,3.56,0.14,22.2,86
"December 23, 2018 / 3:10pm",Zinger Bat Company - X318,,,,63.3,,,3,,,-46,3.45,0.15,20,85
"December 23, 2018 / 3:10pm",Zinger Bat Company - X318,,,,63,,,5,,,-15,3.42,0.15,17.8,73
"December 23, 2018 / 3:09pm",Zinger Bat Company - X318,,,,63.9,,,4,,,-21,3.67,0.14,17.4,86
"December 23, 2018 / 3:09pm",Zinger Bat Company - X318,,,,63.1,,,5,,,-26,3.62,0.14,19.4,90
"December 23, 2018 / 3:05pm",Zinger Bat Company - X318,,,,60.1,,,11,,,-25,3.19,0.14,16.6,82
"December 23, 2018 / 3:04pm",Zinger Bat Company - X318,,,,54.6,,,5,,,-31,2.57,0.15,17.9,78
"December 23, 2018 / 3:04pm",Zinger Bat Company - X318,,,,55.5,,,8,,,-33,2.59,0.15,16.7,81
"December 23, 2018 / 3:04pm",Zinger Bat Company - X318,,,,61.8,,,8,,,-22,3.58,0.14,16.4,87
"December 23, 2018 / 3:00pm",Zinger Bat Company - X318,,,,55.5,,,10,,,-36,2.52,0.16,19.9,81
"December 23, 2018 / 3:00pm",Zinger Bat Company - X318,,,,56.7,,,7,,,-34,2.67,0.15,18.2,83
"December 23, 2018 / 3:00pm",Zinger Bat Company - X318,,,,59,,,-2,,,-27,3.31,0.13,16.9,78
"December 23, 2018 / 3:00pm",Zinger Bat Company - X318,,,,64.7,,,6,,,-27,3.71,0.14,18,87
"December 23, 2018 / 2:59pm",Zinger Bat Company - X318,,,,64.5,,,7,,,-25,3.74,0.14,19.4,84
"December 23, 2018 / 2:59pm",Zinger Bat Company - X318,,,,64.4,,,5,,,-28,3.52,0.15,18.4,88
"December 23, 2018 / 2:59pm",Zinger Bat Company - X318,,,,58.8,,,6,,,-44,2.86,0.15,19.5,82
"December 23, 2018 / 2:58pm",Zinger Bat Company - X318,,,,62.4,,,6,,,-39,3.31,0.15,18.7,85
"December 22, 2018 / 2:35pm",Zinger Bat Company - X318,,,,58.9,,,2,,,-34,3.3,0.13,20.1,77
"December 22, 2018 / 2:35pm",Zinger Bat Company - X318,,,,62.5,,,10,,,-39,3.66,0.14,19.9,88
"December 22, 2018 / 2:35pm",Zinger Bat Company - X318,,,,57.3,,,18,,,-35,3.03,0.14,18.4,80
"December 22, 2018 / 2:35pm",Zinger Bat Company - X318,,,,58.4,,,3,,,-47,3.19,0.14,20.1,85
"December 22, 2018 / 2:34pm",Zinger Bat Company - X318,,,,57.2,,,4,,,-45,2.93,0.14,18.8,74
"December 22, 2018 / 2:34pm",Zinger Bat Company - X318,,,,63.2,,,7,,,-19,3.8,0.13,16.5,68
"December 22, 2018 / 2:34pm",Zinger Bat Company - X318,,,,61.1,,,-1,,,-26,3.66,0.13,17.6,64
"December 22, 2018 / 2:34pm",Zinger Bat Company - X318,,,,65.4,,,15,,,-22,3.89,0.14,18.8,77
"December 22, 2018 / 2:34pm",Zinger Bat Company - X318,,,,66.2,,,8,,,-32,4.44,0.13,20.2,83
"December 22, 2018 / 2:33pm",Zinger Bat Company - X318,,,,62.9,,,14,,,-31,3.76,0.13,20.9,83
"December 22, 2018 / 2:33pm",Zinger Bat Company - X318,,,,61.7,,,9,,,-42,3.51,0.14,20.9,79
"December 22, 2018 / 2:33pm",Zinger Bat Company - X318,,,,55.9,,,1,,,-46,3.06,0.13,21.7,77
"December 22, 2018 / 2:32pm",Zinger Bat Company - X318,,,,63,,,12,,,-29,3.78,0.13,18.5,75
"December 22, 2018 / 2:31pm",Zinger Bat Company - X318,,,,58.9,,,6,,,-35,3.35,0.13,19.3,81
"December 22, 2018 / 2:31pm",Zinger Bat Company - X318,,,,52.8,,,4,,,-36,2.73,0.13,17.1,75
"December 22, 2018 / 2:31pm",Zinger Bat Company - X318,,,,60.4,,,-2,,,-46,3.37,0.14,21,74
"December 22, 2018 / 2:31pm",Zinger Bat Company - X318,,,,56.5,,,18,,,-33,2.87,0.14,19.1,75
"December 22, 2018 / 2:31pm",Zinger Bat Company - X318,,,,61.3,,,11,,,-37,3.52,0.14,20.3,75
"December 22, 2018 / 2:31pm",Zinger Bat Company - X318,,,,64.1,,,4,,,-34,4.16,0.13,18.6,76
"December 22, 2018 / 2:30pm",Zinger Bat Company - X318,,,,62.6,,,12,,,-34,3.68,0.14,18.9,76
"December 22, 2018 / 2:30pm",Zinger Bat Company - X318,,,,65.1,,,9,,,-38,3.86,0.14,20.7,83
"December 22, 2018 / 2:30pm",Zinger Bat Company - X318,,,,62.8,,,7,,,-43,3.69,0.14,18.3,78
"December 22, 2018 / 2:30pm",Zinger Bat Company - X318,,,,60.6,,,1,,,-40,3.29,0.14,17.9,67
"December 22, 2018 / 2:30pm",Zinger Bat Company - X318,,,,61.2,,,7,,,-36,3.74,0.13,19.5,83
"December 22, 2018 / 2:27pm",Zinger Bat Company - X318,,,,63.1,,,13,,,-35,3.73,0.14,20.6,87
"December 22, 2018 / 2:27pm",Zinger Bat Company - X318,,,,58,,,-3,,,-44,3.57,0.12,20.9,87
"December 22, 2018 / 2:26pm",Zinger Bat Company - X318,,,,56.7,,,3,,,-39,3.11,0.13,19.4,77
"December 22, 2018 / 2:26pm",Zinger Bat Company - X318,,,,62.1,,,12,,,-33,3.46,0.14,20.8,74
"December 22, 2018 / 2:26pm",Zinger Bat Company - X318,,,,61.2,,,8,,,-38,3.36,0.14,20.1,73
"December 22, 2018 / 2:26pm",Zinger Bat Company - X318,,,,61.5,,,13,,,-32,3.39,0.14,18.8,75
"December 22, 2018 / 2:25pm",Zinger Bat Company - X318,,,,62.4,,,10,,,-32,4,0.12,20.1,91
"December 22, 2018 / 2:25pm",Zinger Bat Company - X318,,,,57.4,,,3,,,-37,3.04,0.14,17.5,74
"December 22, 2018 / 2:25pm",Zinger Bat Company - X318,,,,58.7,,,9,,,-38,3.23,0.14,18.9,75
"December 22, 2018 / 2:25pm",Zinger Bat Company - X318,,,,63.3,,,8,,,-37,3.7,0.14,19.2,75
"December 22, 2018 / 2:25pm",Zinger Bat Company - X318,,,,60.4,,,12,,,-36,3.37,0.14,19.4,77
"December 22, 2018 / 2:25pm",Zinger Bat Company - X318,,,,57.8,,,-1,,,-41,3.13,0.14,18.5,75
"December 22, 2018 / 2:22pm",Zinger Bat Company - X318,,,,54.7,,,0,,,-38,2.57,0.15,17.6,71
"December 22, 2018 / 2:21pm",Zinger Bat Company - X318,,,,52.7,,,0,,,-45,2.5,0.14,17.6,75
"December 22, 2018 / 2:21pm",Zinger Bat Company - X318,,,,60.3,,,10,,,-35,3.36,0.14,18.8,69
"December 22, 2018 / 2:21pm",Zinger Bat Company - X318,,,,58,,,-3,,,-37,3.24,0.13,18.2,72
"December 22, 2018 / 2:21pm",Zinger Bat Company - X318,,,,58.9,,,6,,,-37,3.3,0.13,19.8,79
"December 22, 2018 / 2:20pm",Zinger Bat Company - X318,,,,53.6,,,-4,,,-41,2.78,0.13,17.6,75
"December 22, 2018 / 2:20pm",Zinger Bat Company - X318,,,,61.9,,,8,,,-39,3.54,0.14,19.9,80
"December 22, 2018 / 2:20pm",Zinger Bat Company - X318,,,,61,,,-3,,,-30,3.76,0.13,18.8,74
"December 22, 2018 / 2:20pm",Zinger Bat Company - X318,,,,62.1,,,9,,,-35,3.61,0.14,19.2,79
"December 22, 2018 / 2:20pm",Zinger Bat Company - X318,,,,60.3,,,2,,,-38,3.31,0.14,19.6,72
"December 22, 2018 / 2:20pm",Zinger Bat Company - X318,,,,58.7,,,1,,,-38,3.38,0.13,20,77
"December 22, 2018 / 2:19pm",Zinger Bat Company - X318,,,,58.4,,,1,,,-41,3.35,0.13,19.6,79
"December 22, 2018 / 2:19pm",Zinger Bat Company - X318,,,,59.8,,,9,,,-39,3.3,0.14,19.8,79
"December 22, 2018 / 2:15pm",Zinger Bat Company - X318,,,,60.4,,,0,,,-31,3.52,0.13,19.8,66
"December 22, 2018 / 2:15pm",Zinger Bat Company - X318,,,,60.7,,,-1,,,-44,3.91,0.12,19.4,78
"December 22, 2018 / 2:15pm",Zinger Bat Company - X318,,,,61.4,,,14,,,-31,3.39,0.14,20,68
"December 22, 2018 / 2:15pm",Zinger Bat Company - X318,,,,58.4,,,4,,,-37,3.25,0.13,19.2,79
"December 22, 2018 / 2:15pm",Zinger Bat Company - X318,,,,62.4,,,11,,,-37,3.45,0.14,19.9,76
"December 22, 2018 / 2:15pm",Zinger Bat Company - X318,,,,60,,,6,,,-38,3.47,0.13,20.1,85
"December 22, 2018 / 2:15pm",Zinger Bat Company - X318,,,,57.8,,,9,,,-43,2.92,0.15,18.6,75
"December 22, 2018 / 2:14pm",Zinger Bat Company - X318,,,,60.5,,,-3,,,-43,3.48,0.13,18,67
"December 22, 2018 / 2:14pm",Zinger Bat Company - X318,,,,63.3,,,5,,,-39,3.76,0.14,19.4,78
"December 22, 2018 / 2:14pm",Zinger Bat Company - X318,,,,56.7,,,-3,,,-46,2.59,0.16,18.9,54
"December 22, 2018 / 2:14pm",Zinger Bat Company - X318,,,,63,,,10,,,-39,3.78,0.13,19.2,80
"December 22, 2018 / 2:13pm",Zinger Bat Company - X318,,,,62.5,,,15,,,-32,3.56,0.14,19.8,75
"December 22, 2018 / 2:13pm",Zinger Bat Company - X318,,,,59.7,,,8,,,-38,3.39,0.13,19.3,78
"December 22, 2018 / 2:13pm",Zinger Bat Company - X318,,,,61,,,-2,,,-43,3.34,0.14,19.7,72
"December 22, 2018 / 2:02pm",Zinger Bat Company - X318,,,,61.4,,,6,,,-25,3.54,0.14,20,77
"December 22, 2018 / 2:02pm",Zinger Bat Company - X318,,,,61.2,,,-1,,,-29,3.68,0.13,19.9,75
"December 22, 2018 / 2:02pm",Zinger Bat Company - X318,,,,59.9,,,2,,,-31,3.47,0.13,19.4,74
"December 22, 2018 / 2:02pm",Zinger Bat Company - X318,,,,60.3,,,6,,,-30,3.36,0.14,20.3,78
"December 22, 2018 / 2:02pm",Zinger Bat Company - X318,,,,58.7,,,17,,,-30,2.92,0.15,18.9,72
"December 22, 2018 / 2:02pm",Zinger Bat Company - X318,,,,60.6,,,5,,,-39,3.49,0.13,19.9,87
"December 22, 2018 / 2:02pm",Zinger Bat Company - X318,,,,61.8,,,9,,,-30,3.38,0.14,19.1,70
"December 22, 2018 / 2:01pm",Zinger Bat Company - X318,,,,63.3,,,8,,,-34,3.71,0.14,19.3,75
"December 22, 2018 / 2:01pm",Zinger Bat Company - X318,,,,63.6,,,3,,,-36,3.74,0.14,20.6,77
"December 22, 2018 / 2:01pm",Zinger Bat Company - X318,,,,64.6,,,9,,,-34,3.8,0.14,20.8,80
"December 22, 2018 / 2:01pm",Zinger Bat Company - X318,,,,58.7,,,6,,,-32,2.97,0.15,19.3,69
"December 22, 2018 / 2:01pm",Zinger Bat Company - X318,,,,51.4,,,10,,,-29,2.37,0.14,15.1,76
"December 22, 2018 / 2:01pm",Zinger Bat Company - X318,,,,61.1,,,-3,,,-38,3.55,0.13,19.8,75
"December 22, 2018 / 2:01pm",Zinger Bat Company - X318,,,,58.8,,,4,,,-31,3.02,0.15,18.9,70
"December 22, 2018 / 2:00pm",Zinger Bat Company - X318,,,,60.2,,,-6,,,-40,3.4,0.14,20.6,77
"December 22, 2018 / 1:59pm",Zinger Bat Company - X318,,,,36.7,,,-1,,,-44,1.01,0.17,13.3,41
"December 22, 2018 / 1:53pm",Zinger Bat Company - X318,,,,67.8,,,10,,,-44,4.13,0.14,20,80
"December 22, 2018 / 1:53pm",Zinger Bat Company - X318,,,,64.7,,,11,,,-39,3.71,0.14,19.7,87
"December 22, 2018 / 1:53pm",Zinger Bat Company - X318,,,,58.4,,,6,,,-40,2.86,0.15,18.9,72
"December 22, 2018 / 1:53pm",Zinger Bat Company - X318,,,,55,,,0,,,-31,2.79,0.14,19.5,78
"December 22, 2018 / 1:47pm",Zinger Bat Company - X318,,,,60.2,,,3,,,-40,3.12,0.15,19.9,66
"December 22, 2018 / 1:46pm",Zinger Bat Company - X318,,,,61.5,,,4,,,-36,3.45,0.14,20.7,76
"December 22, 2018 / 1:46pm",Zinger Bat Company - X318,,,,62.4,,,7,,,-17,3.55,0.14,18.7,87
"December 22, 2018 / 1:46pm",Zinger Bat Company - X318,,,,57.3,,,6,,,-28,3.03,0.14,17.5,80
"December 22, 2018 / 1:46pm",Zinger Bat Company - X318,,,,62.5,,,6,,,-30,3.67,0.14,19.7,90
"December 22, 2018 / 1:46pm",Zinger Bat Company - X318,,,,59.5,,,8,,,-57,3.05,0.15,19.5,77
"December 22, 2018 / 1:41pm",Zinger Bat Company - X318,,,,57.9,,,7,,,-45,2.74,0.16,19.8,68
"December 22, 2018 / 1:41pm",Zinger Bat Company - X318,,,,58.9,,,7,,,-42,2.91,0.15,20.1,82
"December 22, 2018 / 1:41pm",Zinger Bat Company - X318,,,,58,,,11,,,-36,2.82,0.15,19.5,78
"December 22, 2018 / 1:41pm",Zinger Bat Company - X318,,,,58.6,,,13,,,-29,2.92,0.15,19.6,78
"December 22, 2018 / 1:41pm",Zinger Bat Company - X318,,,,52,,,9,,,-43,2.13,0.16,16.9,69
"December 21, 2018 / 11:33am",Zinger Bat Company - X318,,,,60.8,,,5,,,-33,3.23,0.15,18.2,71
"December 21, 2018 / 11:33am",Zinger Bat Company - X318,,,,60.3,,,8,,,-31,3.09,0.15,18.7,72
"December 21, 2018 / 11:33am",Zinger Bat Company - X318,,,,61.4,,,8,,,-36,3.17,0.15,19.5,89
"December 21, 2018 / 11:33am",Zinger Bat Company - X318,,,,65.4,,,8,,,-46,3.68,0.15,22,83
"December 21, 2018 / 11:32am",Zinger Bat Company - X318,,,,64.2,,,9,,,-44,3.41,0.15,19.5,76
"December 21, 2018 / 11:25am",Zinger Bat Company - X318,,,,60.4,,,5,,,-43,2.73,0.17,20.2,66
"December 21, 2018 / 11:24am",Zinger Bat Company - X318,,,,60.7,,,13,,,-42,3.09,0.15,20.3,75
"December 21, 2018 / 11:24am",Zinger Bat Company - X318,,,,59.7,,,12,,,-43,2.7,0.17,21.3,71
"December 21, 2018 / 11:24am",Zinger Bat Company - X318,,,,65.2,,,10,,,-38,3.52,0.15,20.5,75
"December 21, 2018 / 11:24am",Zinger Bat Company - X318,,,,66.4,,,7,,,-38,4.08,0.14,20.4,79
"December 21, 2018 / 11:23am",Zinger Bat Company - X318,,,,62.8,,,14,,,-38,3.31,0.15,19,71
"December 21, 2018 / 11:22am",Zinger Bat Company - X318,,,,60.4,,,11,,,-40,2.81,0.17,20.8,66
"December 21, 2018 / 11:22am",Zinger Bat Company - X318,,,,60.2,,,9,,,-44,2.69,0.17,19,67
"December 21, 2018 / 11:22am",Zinger Bat Company - X318,,,,61.4,,,11,,,-43,3.33,0.14,20.3,76
"December 21, 2018 / 11:22am",Zinger Bat Company - X318,,,,60.5,,,12,,,-42,3.11,0.15,19.5,77
"December 21, 2018 / 11:21am",Zinger Bat Company - X318,,,,62.7,,,10,,,-40,3.43,0.15,21.1,81
"December 21, 2018 / 11:21am",Zinger Bat Company - X318,,,,68.1,,,9,,,-36,3.99,0.15,19.5,79
"December 21, 2018 / 11:21am",Zinger Bat Company - X318,,,,66.2,,,4,,,-38,3.68,0.15,19.6,82
"December 21, 2018 / 11:20am",Zinger Bat Company - X318,,,,59.3,,,15,,,-29,2.84,0.16,17.6,70
"December 21, 2018 / 11:20am",Zinger Bat Company - X318,,,,61.4,,,18,,,-25,3.01,0.16,16.7,70
"December 21, 2018 / 11:20am",Zinger Bat Company - X318,,,,63.2,,,14,,,-21,3.44,0.15,17.6,83
"December 21, 2018 / 11:19am",Zinger Bat Company - X318,,,,56.8,,,11,,,-28,2.64,0.16,16.1,82
"December 21, 2018 / 11:19am",Zinger Bat Company - X318,,,,60.5,,,14,,,-22,3.03,0.15,18.8,76
"December 21, 2018 / 11:18am",Zinger Bat Company - X318,,,,61,,,12,,,-18,2.93,0.16,18.4,74
"December 21, 2018 / 11:18am",Zinger Bat Company - X318,,,,63.4,,,16,,,-24,3.09,0.17,18.5,71
"December 21, 2018 / 11:18am",Zinger Bat Company - X318,,,,64.7,,,14,,,-17,3.51,0.15,16.9,81
"December 21, 2018 / 11:17am",Zinger Bat Company - X318,,,,61.1,,,20,,,-19,3.21,0.15,17.3,70
"December 21, 2018 / 11:17am",Zinger Bat Company - X318,,,,58.3,,,16,,,-21,2.85,0.15,17.9,71
"December 21, 2018 / 11:17am",Zinger Bat Company - X318,,,,57.7,,,14,,,-27,2.69,0.16,19.5,72
"December 21, 2018 / 11:15am",Zinger Bat Company - X318,,,,64.3,,,2,,,-39,3.61,0.15,19.8,70
"December 21, 2018 / 11:15am",Zinger Bat Company - X318,,,,59.8,,,3,,,-47,3,0.15,20.8,73
"December 21, 2018 / 11:14am",Zinger Bat Company - X318,,,,61.8,,,6,,,-47,3.16,0.15,20.2,75
"December 21, 2018 / 11:14am",Zinger Bat Company - X318,,,,62,,,7,,,-44,3.11,0.16,20.5,75
"December 21, 2018 / 11:14am",Zinger Bat Company - X318,,,,62.7,,,9,,,-44,3.21,0.16,20.5,77
"December 21, 2018 / 11:14am",Zinger Bat Company - X318,,,,63,,,4,,,-44,3.61,0.14,20.2,79
"December 21, 2018 / 11:13am",Zinger Bat Company - X318,,,,62,,,5,,,-35,3.66,0.13,20.2,74
"December 21, 2018 / 11:13am",Zinger Bat Company - X318,,,,62.5,,,6,,,-44,3.46,0.14,20,77
"December 21, 2018 / 11:13am",Zinger Bat Company - X318,,,,58.7,,,9,,,-47,2.85,0.15,20.6,65
"December 21, 2018 / 11:13am",Zinger Bat Company - X318,,,,64.1,,,3,,,-40,3.36,0.16,20.6,70
"December 21, 2018 / 11:13am",Zinger Bat Company - X318,,,,61.2,,,-7,,,-44,3.46,0.14,20.2,83
"December 21, 2018 / 11:12am",Zinger Bat Company - X318,,,,63.4,,,6,,,-44,3.33,0.15,20.6,72
"December 21, 2018 / 11:12am",Zinger Bat Company - X318,,,,62.1,,,2,,,-44,3.32,0.15,20.5,68
"December 21, 2018 / 11:11am",Zinger Bat Company - X318,,,,63.4,,,4,,,-46,3.28,0.16,20,76
"December 21, 2018 / 11:08am",Zinger Bat Company - X318,,,,60.1,,,6,,,-30,3.11,0.15,19.9,87
"December 21, 2018 / 11:08am",Zinger Bat Company - X318,,,,60.1,,,7,,,-33,3.03,0.15,18.9,87
"December 21, 2018 / 11:07am",Zinger Bat Company - X318,,,,48.5,,,5,,,-45,2.05,0.15,19.9,70
"December 21, 2018 / 11:07am",Zinger Bat Company - X318,,,,48.7,,,5,,,-41,2.07,0.15,21.1,68
"December 21, 2018 / 11:07am",Zinger Bat Company - X318,,,,61.5,,,7,,,-27,3.25,0.15,20.9,75
"December 21, 2018 / 11:07am",Zinger Bat Company - X318,,,,62.6,,,7,,,-23,3.24,0.15,17.3,71
"December 21, 2018 / 11:06am",Zinger Bat Company - X318,,,,63.5,,,8,,,-20,3.58,0.14,17.1,71
"December 21, 2018 / 11:06am",Zinger Bat Company - X318,,,,63.5,,,7,,,-25,3.34,0.15,17.7,69
"December 21, 2018 / 11:06am",Zinger Bat Company - X318,,,,64.7,,,6,,,-25,3.55,0.15,18.6,76
"December 21, 2018 / 11:06am",Zinger Bat Company - X318,,,,62.5,,,6,,,-29,3.32,0.15,18.8,78
"December 21, 2018 / 11:05am",Zinger Bat Company - X318,,,,59.1,,,6,,,-30,2.96,0.15,18.1,79
"December 21, 2018 / 11:04am",Zinger Bat Company - X10,,,,59.6,,,5,,,-32,3.18,0.14,19.2,86
"December 21, 2018 / 11:04am",Zinger Bat Company - X10,,,,57.8,,,4,,,-32,2.73,0.16,17.5,80
"December 21, 2018 / 10:47am",Zinger Bat Company - X10,,,,53.4,,,2,,,-30,2.49,0.15,18.5,77
"December 21, 2018 / 10:47am",Zinger Bat Company - X10,,,,60.3,,,5,,,-36,3.22,0.14,20.7,80
"December 21, 2018 / 10:47am",Zinger Bat Company - X10,,,,60.5,,,8,,,-36,3.2,0.15,21.1,79
"December 21, 2018 / 10:47am",Zinger Bat Company - X10,,,,56.8,,,8,,,-33,2.71,0.15,18.6,76
"December 21, 2018 / 10:46am",Zinger Bat Company - X10,,,,57.9,,,11,,,-38,3.01,0.14,20,79
"December 21, 2018 / 10:46am",Zinger Bat Company - X10,,,,60.2,,,6,,,-40,3.25,0.14,19.4,84
"December 21, 2018 / 10:46am",Zinger Bat Company - X10,,,,62.1,,,7,,,-48,3.61,0.14,21.1,81
"December 21, 2018 / 10:46am",Zinger Bat Company - X10,,,,55.3,,,8,,,-34,2.6,0.15,17.6,76
"December 21, 2018 / 10:46am",Zinger Bat Company - X10,,,,58.9,,,5,,,-38,3.12,0.14,19.4,83
"December 21, 2018 / 10:46am",Zinger Bat Company - X10,,,,63,,,2,,,-44,3.56,0.14,20.8,80
"December 21, 2018 / 10:46am",Zinger Bat Company - X10,,,,61.9,,,11,,,-47,3.18,0.15,21.3,73
"December 21, 2018 / 10:45am",Zinger Bat Company - X10,,,,63,,,10,,,-44,3.33,0.15,21.4,75
"December 21, 2018 / 10:45am",Zinger Bat Company - X10,,,,60.6,,,-5,,,-50,3.44,0.14,22.3,77
"December 21, 2018 / 10:45am",Zinger Bat Company - X10,,,,61.7,,,5,,,-33,3.37,0.14,20.1,81
"December 19, 2018 / 11:19am",Zinger Bat Company - X10,,,,59.2,,,7,,,-17,2.48,0.16,19.7,79
"December 19, 2018 / 11:19am",Zinger Bat Company - X10,,,,61.3,,,7,,,-12,2.53,0.16,19.2,69
"December 19, 2018 / 11:19am",Zinger Bat Company - X10,,,,58.5,,,8,,,-18,2.56,0.15,20,79
"December 19, 2018 / 11:19am",Zinger Bat Company - X10,,,,65.6,,,11,,,-23,3.13,0.15,20.8,76
"December 19, 2018 / 11:18am",Zinger Bat Company - X10,,,,64.4,,,8,,,-25,2.9,0.16,20.1,84
"December 19, 2018 / 11:18am",Zinger Bat Company - X10,,,,62.7,,,5,,,-23,2.59,0.17,18.5,66
"December 19, 2018 / 11:18am",Zinger Bat Company - X10,,,,65.3,,,3,,,-28,2.98,0.16,19,71
"December 19, 2018 / 11:18am",Zinger Bat Company - X10,,,,66.8,,,7,,,-33,3.25,0.15,20.3,82
"December 19, 2018 / 11:17am",Zinger Bat Company - X10,,,,65.4,,,8,,,-19,3.03,0.16,20.2,82
"December 19, 2018 / 11:16am",Zinger Bat Company - X10,,,,66.7,,,14,,,-33,3.41,0.14,21.3,76
"December 19, 2018 / 11:15am",Zinger Bat Company - X10,,,,59.8,,,7,,,-28,2.95,0.13,19.2,80
"December 19, 2018 / 11:15am",Zinger Bat Company - X10,,,,68,,,8,,,-43,3.6,0.14,22.5,76
"December 19, 2018 / 11:14am",Zinger Bat Company - X10,,,,66,,,13,,,-41,3.25,0.15,21,80
"December 19, 2018 / 11:12am",Zinger Bat Company - X10,,,,66.4,,,11,,,-22,2.93,0.17,19.7,70
"December 19, 2018 / 11:12am",Zinger Bat Company - X10,,,,63.4,,,0,,,-28,3.05,0.15,20.5,78
"December 19, 2018 / 11:12am",Zinger Bat Company - X10,,,,64.6,,,11,,,-28,2.85,0.16,20.3,76
"December 19, 2018 / 11:12am",Zinger Bat Company - X10,,,,62.5,,,9,,,-32,2.88,0.15,20.4,85
"December 19, 2018 / 11:11am",Zinger Bat Company - X10,,,,62.8,,,4,,,-28,2.51,0.17,19.1,60
"December 19, 2018 / 11:11am",Zinger Bat Company - X10,,,,59.3,,,13,,,-15,2.26,0.17,19.8,75
"December 19, 2018 / 11:11am",Zinger Bat Company - X10,,,,61.8,,,4,,,-24,2.85,0.15,19.8,82
"December 19, 2018 / 11:10am",Zinger Bat Company - X10,,,,65.7,,,9,,,-26,2.91,0.16,20.1,70
"December 19, 2018 / 11:09am",Zinger Bat Company - X10,,,,67.6,,,1,,,-38,3.82,0.13,22.1,75
"December 19, 2018 / 11:09am",Zinger Bat Company - X10,,,,66,,,4,,,-39,3.43,0.14,21.3,76
"December 19, 2018 / 11:09am",Zinger Bat Company - X10,,,,60.5,,,8,,,-27,3.01,0.13,20.6,87
"December 19, 2018 / 11:09am",Zinger Bat Company - X10,,,,64.7,,,4,,,-41,3.3,0.14,20.5,75
"December 19, 2018 / 11:08am",Zinger Bat Company - X10,,,,64.6,,,8,,,-42,3.2,0.14,22.5,70
"December 19, 2018 / 11:08am",Zinger Bat Company - X10,,,,56.9,,,10,,,-31,2.63,0.14,19.6,70
"December 19, 2018 / 11:08am",Zinger Bat Company - X10,,,,65.1,,,8,,,-43,3.12,0.15,20.6,72
"December 19, 2018 / 11:08am",Zinger Bat Company - X10,,,,63.8,,,3,,,-35,3.35,0.13,19.9,81
"December 19, 2018 / 11:08am",Zinger Bat Company - X10,,,,64.2,,,9,,,-38,3.08,0.15,21.2,68
